Topic,Count,Name,Representation,Representative_Docs
-1,717,-1_machine_time_staff_people,"['machine', 'time', 'staff', 'people', 'member', 'get', 'one', 'use', 'good', 'like']","['hi happy actually time remodelling supposed get better came back couple month work finished machine also working take long time routine work also need make time another exercise pay money work machine working one many people disappointed please would love manager resolve problem', 'kit bad albeit skewed towards weight rather cardio busy period lack cardio kit prove achilles heel wait frustrating little thought towards layout could actually fit cross trainer bike something would improve place free weight area good plenty selection kit people mostly tidy put kit back back per always case however fairly big issue hence two star could easily resolved site staff company seem reluctant * male changing room consistently dirty even cleaner cleaned ever witness cleaner job see poor shower also bone contention three begin fact one shower entire male changing room busy unacceptable one order shower broken door week unacceptable inside locker consistently dirty many locker lock left week enforced staff * rule enforced multiple printed sheet telling love laminated document blu tac little enforcement group young male training vocally putting kit back half clothed create inviting environment say rule enforced multiple laminated sheet printed telling people banned training semi clothed putting kit back = nothing actually happens *maintenance time kit break take week month fix appreciate big company bangor stick speak still pretty shoddy leg extender machine nice laminated notice push beyond point month actually fixed shower door cross trainer took week + fix… something break appears sense urgency site staff particularly company urinal male changing room full urine month long ago fixed * water water whole issue site issue plumber know looking water fountain pressure barely dribble shower pressure work also barely dribble male urinal flush never stop nothing saving water regard low pressure site issue going month sorted air con pace stuffy need good reliable air circulation consequence place warmer plethora member smell every nice make warm sticky environment little bit worse place smell pleasant lot time really need get act together end member student want cheap membership mostly student put weight back throw litter away train half clothed think one second also need employ management team site proactive get stuff done site gone massively hill last three month continues go time go get worse management team place beginning year prone challenging member keeping top kit repair rather laminating sheet saying actually getting done offence current team lovely people meek reserved follow promise get issue sorted reported waiting engineer hold much water report chase done customer service customer satisfaction site missing shame lack experience management summarised instagram post manager week ago odd degree outside warm water went toilet water fountain shower tap manager put instagram post saying people still come drink pee shower mind boggles customer focussed business savvy manager better enforcement rule urgency regarding repair would sort place moment mess que pg copy paste reply', 'floor underground took advantage day pas january unfortunately hour signed midnight would already lost day signed another month cancelling found atmosphere weird number staff seemed obsessed activity whereabouts could use pin front entrance think done purpose could give staff something week rectify tanoy system sometimes put loud quite offputting getting zone music controlled staff seemingly either treadmill mat big membership price lowest market really push shyier nature get past staff generally goer respectful keep big enough always space want get impression staff like allowed want restarted membership half price joining fee paid another month last week purchasing day pass friday leak bit waste money closed massive section floor completely flooded sewage water female changing room section running machine closed prior pm shortly would arrived know clearly started recieved email pm half hour purchasing day pas hour thrown would work unfortunately pm next day feature taken cleaner met first joined quite bolshy changing room later hovering running machine probably generally changing room toilet always dirty often saw toilet roll left floor whether personal trainer cleaner think cleaned regularly working establishment least take pride facillities paying wage b used paying client shower clean used anything else lot locker female changing room either broken nearly broken used without lock rushing trying find space put stuff good luck went men friday arriving female pretty much order far cleaner bigger general better condition student led think staff comfortable dancing fitness performing back ground really work hard also like keep found staff obsession putting upsetting liverpool puregyms right centre liverpool lime street central easy get also kept initially getting timing wrong instead member staff saying oh peak went one day really go app website pod tiny struggle fit rucksack back also bit claustrophobic rejected access main door got used pod code actually worked think staff remember work way around unprofessional uncooperative lazy pt']"
0,512,0_shower_toilet_room_dirty,"['shower', 'toilet', 'room', 'dirty', 'cleaning', 'changing', 'water', 'cold', 'clean', 'machine']","['good locker room shower need better cleaning often stench toilet dirt shower disgusting', 'member sutton coldfield opened temperature shower tepid warm best plus supposed hot shower cold shower never get used busy time queuing get shower mentioned said staying temperature lot member know happy expect less cold shower workout unless change member leaving good enough unless like cold shower join interested looking poor', 'ok nothing special like staff nice work well clean need loo toilet spacious shower look good several hand dryer working week go area get paper towel dripping water go dangerous main thing toilet unisex men woman thats woman use disgusting men spray everywhere using go find smelly urine floor toilet seat make turn around walk refuse use know get cleaned regularly huge thing able use loo apart ok purgym please put lady toilet get full mark honest opinion thanks reply reply looking basic email get sent everyone ask put lady toilet one would suitable management would anything without permission email sent pretty unhelpful blasé need cost money put sign one toilet door stating lady']"
1,337,1_membership_email_cancel_customer,"['membership', 'email', 'cancel', 'customer', 'service', 'account', 'month', 'payment', 'money', 'app']","['great shop floor staff company morally bankrupt claw much money customer possible website talk flexible package ability change required reality want upgrade give money process simple downgrading possible without cancelling direct debit experienced quick google tell one try downgrading website take circle web page right back started contacted customer service received response easy downgrade click taking straight back circular process caveat message process work cancel direct debit” need tell another really sad example corporate greed trying get one loyal customer frankly better thing mess around cancelling direct debit go whole sign process setting fee take advantage update following response copied part email chain customer service demonstrates easily downgrade membership customer request recommend cancelling direct debit “thank message sorry feel spouting lie informing cancellation process also mentioned previous email information issue way nothing worry also cancel ending direct debit agreement bank issue resolved contacting bank directly cancelling direct debit unable cancel membership behalf member otherwise would help advise issue hand best possible member ” would intrigued hear happened', 'worst customer service received long time recently joined wanted change direct debit date payday emailed number customer service work bearing mind joined th september emailed rd october request direct debit date change sent auto response receiving response never received one tried change app online good date come direct debt collected fails received email logging account late fee admin fee tried log even respond email provided talk customer service answer automated response asking log account tried account blocked cannot log appalled lack customer service received someone simply done job responded week ago tried collect direct debt end october would situation also cancelled class th october found app email correspondence', 'tried cancel membership app let joing week got deal £ first month get charged £ next month couple email still never cancelled membership advised cancel direct debit go back app waste time recommend bad customer service']"
2,223,2_machine_weight_bench_one,"['machine', 'weight', 'bench', 'one', 'space', 'need', 'cardio', 'enough', 'area', 'workout']","['going month sadly going downhill know suggestion box know especially female member feeling recently weight area need update especially comparison puregyms area two squat rack one powerlifting platform two smith machine understandably popular four ft barbell belong two squat rack one powerlifting platform one bench press feel bad stealing plate hard find usually place smith machine ancient even go way ground hip thrust machine like space want hip thrust deadlift away squat rack youd literally middle space way even invested hip thrust bench barbell pad would better nothing womens section nothing cardio abductor machine two space mirror two bench taken load woman workout middle room big ab mat holder decent space potential amazing need looked bit better definitely falling behind lately + people get quite busy great people wellness difficult space would great staff could consider updating layout', 'overall complain much due price although point hopefully get back look heavily used surprising open long think need keep replacing bench hard hard end slipping one side maybe need look upgrading getting new supplier cramped large area class couple class day even busy seems like waste space need cable machine get really busy could leg machine understand space tight weight section ok little cramped biggest problem plate people put weight back find kg plate odd reason many odd plate wrong section staff need make sure people put weight back correct place maybe sign place people remember simple manner need limit amount member get really busy sign room move one ashford much better hopefully get bigger unit something space rammed', 'way busy struggle get machine even bench free weight great want cardio looking use weight machine free weight']"
3,132,3_class_instructor_cancelled_booked,"['class', 'instructor', 'cancelled', 'booked', 'booking', 'book', 'time', 'attend', 'get', 'one']","['forgot mobile staff let cycle class notified attended class class cancelled banned booking day arrival class move bike position struggled move bike instructor offered help eventually another member class came start class instructor even say hello group leaving queue minute one door broken', 'banned booking class cancelled day feeling well gave hour notice attend class get email say sorry missed class class get cancelled last minute please sort admin staff blocking booking class', 'paid higher package waste money higher package supposed give option booking next week class advance class class cleverly min majority usually book day get hr exercise mean min exercise time warm two class actually work min hour max class book mean could book week even though paying enter use app pas get well registering correctly even though class got ticked paper registrar accused turning class via email consequently blocked booking class cancelled class booked direct messaged said would fix week later messaged say still book got response day later yesterday saying please come try fix late… already registered another cancelled also zumba pilate yoga extra cost good know join one changing room whole lady two shower one started dribbling half way change one wash soap hair make small hard work purpose use service class joke non experienced instructor disorganised waste time']"
4,101,4_member_staff_manager_pt,"['member', 'staff', 'manager', 'pt', 'management', 'like', 'class', 'one', 'people', 'take']","['london wall site morning th aug hr working decided cool treadmill brisk walk one pg staff team claim manager walked said must put bag away health safety said hr cooling min done knew happening went back treadmill staff member said put bag away explained heard aware asking need min treadmill done interrupted quite aggressive insisting put bag away immediately got treadmill said bag obstructing anyone practically nothing inside staff member got defensive said rude asked rude said frowning next thing knew happening said something else could hear due loud music stomped want make clear aware bag floor policy merely forgot lock away morning bought bag floor staff member stated manager actually shocked hear manager spoke member tone felt said spoke manager know well “good customer services” talk member like fact talk anyone like felt spoke stupid child playground year age aware health safety work nh business manager appreciate talk member silly naughty child school classroom speaks staff like sounded like straight away told get slap trying said get member always going focus health safety e putting weight back take bag belonging onto floor busy life always aware want come training leave could give little reminder left yes course agree warning however talk stupid naughty child classroom appreciate sure one want spoken way get defensive saying rude frowning attack first wanted last word joined whole pgs £ month use uk pg month ago option use site pay much silly staff talk like stupid frankly felt harass provoke pg supposed put stop harassment joke promote harrassment preventing london wall deserve star use london wall site time week work city go site greenwich kidbrooke beckton etc never issue left feeling vulnerable quite anxious time felt harass going allow person make feel harass ruin day', 'appalled got staff member go name christina going back carpark smoking weed footpath member use walk absolute disgusting stunk whole carpark horrible smell around cctv location right near fire exit business park obviously professional wearing work uniform actually member walked past cover nose clothing got member experiencing behaviour like let remind people working bettering fitness yet staff member abusing drug right front call professional representative organisation stand staff member loud extremely rude attitude problem behaves like owns first thought manager come find member staff cannot job properly even behave professional many conflict incident involve staff member polite manager actually lovely gentleman helpful always give helping hand member shocking someone like actually taking drug whilst work working people around hazard workplace would right state mind staff duty care dealing people mistake cause fatal injury looking previous review clear christina cannot job seems reoccurring trend recommend anyone train christina firstly right state mind due influence drug take fitness advise someone like secondly professional wasting money also maybe contacted police spoke old lady shopping car park time could believe behaviour broad day light reported police would suggest manager notified behaviour kindly ask make sure staff member given random blood test ensure safety member', 'would recommend anyone staff member speak rudely treat like rubbish never word encouragement class make feel uncomfortable isolated class ignored like exist treat equally stop attending carry class male staff member come work drunk touch woman inappropriately threaten member action taken instead member get punished one particular staff member act like shes diva constantly go phone look mirror continue talking member class complain head member ceo md theyll make excuse try fob stating personel issue allowed bring personel issue work take member theyll also blame state overthinking point complaining believe staff member adhering rule slacking cancelling class constantly short notice youve made effort travel even prepared class either people beyond joke head member ceo md give damn member take complaint seriously consider serious matter despite member complaining manager concern regarding serious matter male staff member touching womens buttock two member providing statement head member lot member left incident head member respond stating behaviour nothing personel reason afraid complain wanted remain anonymous staff member take revenge complain happy forced class remain angry class even bothered carry class properly theyll treat nastily class speak rudely single aware get away action taken continue wonder class always empty kind behaviour attitude staff member head member must delusional think busiest bike spin studeo never working order keep switching bike disruptive class management bothered getting bike repaired complaint made theyll cancel class private pt session earn money rather class told investigating footage checked regional manager nothing ordinary theyve bothered check footage properly fobbing usual regional manager useless clue staff breaking rule including manager md ceo never take action staff member staff member would get away even male staff member raped member ceo head member md condone kind behaviour find staff everyone keep leaving already short staffed worst blackburn disgraceful zero customer service lady beware safe woman staff groped get justice groper drunk still complain complaint taken seriously membership terminated footage checked find anything even afford extra staff repair microphone bike ac never working order happy take money unprofessional staff slapper whose bad mouthing member boyfriend cheated got pregnant came cry bad mouthing another member bad smell head member found staff wernt following rule response happens happen member would complain lazy rude unprofessional staff bothered interested class properly worst blackburn staff member comply rule capable thing theyll never get rid staff member get slagged complain staff theyll take personally misbehave class show empathy shamble going hill toxic environment mental health affected dangerous rubbish stingy value money caren anderton sonya others r paid write fake star review']"
5,99,5_hour_opening_open_closed,"['hour', 'opening', 'open', 'closed', 'pm', 'time', 'day', 'change', 'closing', 'customer']","['brag open changed opening hour one used come pm crowded serving entire canary wharf cheek continue charging even changing opening hour like keeping light cost much could easily implemented peak offpeak pass pay price actually decent opening hour advantage', 'joined week announced new hour hour mention new member paid despite closing pm edit peak time member go instead pm till midnight hour min ridiculous restrictive busy towards closing time always time use machine', 'used go every day second home unfortunately opening hour changed sadly hour anymore closing pm time finish work use one london road safety feel safe park car unfortunately going change time many people like']"
6,91,6_air_conditioning_hot_working,"['air', 'conditioning', 'hot', 'working', 'con', 'aircon', 'year', 'summer', 'ac', 'temperature']","['review air conditioning problem trainer class etc wonderful waiting year decent air conditioning air circulation living month disruption due refurbishment problem air still addressed new functional room totally without c unpleasant place train despite wonderful new setup main floor also stuffy tends smell one enters via pod one hit stale heavy air putrid smell studio spin room pretty good admittedly thank least time year many new member due new year resolution get shape regular hear many complaining advertised c feel like inside spoken lovely manager seems cannot control c please may ask look seriously consider health implication training hot still air thank much', 'ok summer started turn cool air air conditioning instead turn hot air sweating hot air blowing face health hazard surprised trading standard called sort want cool air stop hot air quitting membership go elsewhere', 'hednesford like sauna air conditioning working since around may put plenty complaint regarding air conditioning since may nothing done really considering moving way hot understand workout build sweat run minute sweat pouring quite fit please get air conditioning sorted feel customer also moving air conditioning like going getting contact health safety safe customer could pas due fitness hot']"
7,65,7_parking_car_park_fine,"['parking', 'car', 'park', 'fine', 'ticket', 'free', 'registration', 'received', 'time', 'hour']","['unfortunately expensive ever paying parking ticket website mention free car parking twice seems offer hour free parking enough especially get busy wait use', 'get free parking car park would help', 'using around year seems recent change parking regulation work every three day long workout usually spend + hour recently spent three hour one long workout given £ fine parking longer hour nowhere purchase ticket longer parking paying £ park absolutely inexcusable imagine anything significant decrease number people using using different charge £ pound parking reasonable person would agree laughable ignorant greed fueled never happened date incident see sign indicating parking restriction since always case think look sign parking since new parking charge implemented able park free']"
8,48,8_music_loud_class_headphone,"['music', 'loud', 'class', 'headphone', 'volume', 'hear', 'instructor', 'playing', 'area', 'people']","['clean music good thinking go different time go music music start annoying', 'stopped using music way loud', 'class music audio pt way loud especially multiple people spoke appreciate loud hear music concentrate workout']"
9,43,9_locker_stolen_cctv_room,"['locker', 'stolen', 'cctv', 'room', 'car', 'safe', 'broken', 'stuff', 'anything', 'changing']","['locker broken changing room dirty', 'entering locker room could find one locker damaged bent open vandalism went speak staff member situation explaining feel safe leaving bag car key ect locker room shrugged shoulder said use external locker lead unable get correctly changed external locker used staff seem interested securing puregyms customer well literally carrying bag use literally left minute half work felt uncomfortable wanted leave please address situation immediately spoken looking go', 'considering large number cctv camera stop crime occurring brand new trainer stolen locker room manager police notified spoke gentleman changing room time said someone cut lock locker took debit card spent £+ clearly one incident first person speak belonging taken bring anything value car key wallet phone even locker padlock safe minute middle day many people around highly doubt anything come cctv footage show people entering leaving changing room narrowed say people enough evidence anything update review anything change edit may membership agreement car park enter building go responsible personal belonging member still feel safe judging past review feeling cctv enough prevent incident']"
